Archetype,CAH Type,Operation,Solar,Battery,PV,Cost
Detached,H1,hybrid_bidirectional,best,9.5,1.4973206250000002,7704.375
Detached,H1,hybrid_bidirectional,worst,13.053763440860216,1.9488472043010752,10358.387096774193
Detached,H1,safe_unidirectional,best,16.61369680851064,1.837840744680851,11834.04255319149
Detached,H1,safe_unidirectional,worst,22.039772727272727,3.0068187500000003,16893.409090909092
Detached,H2,hybrid_bidirectional,best,4.293619791666667,1.1080361458333334,4387.8125
Detached,H2,hybrid_bidirectional,worst,6.510526315789473,1.3795484210526314,6022.105263157895
Detached,H2,safe_unidirectional,best,13.54655612244898,1.4623901020408163,9573.367346938776
Detached,H2,safe_unidirectional,worst,17.79783163265306,1.8467919387755103,12421.224489795919
Detached,H3,hybrid_bidirectional,best,3.6981382978723403,0.9118544893617021,3690.0
Detached,H3,hybrid_bidirectional,worst,5.464583333333334,1.1976190666666668,5138.0
Detached,H3,safe_unidirectional,best,11.283505154639176,1.1810016597938144,7896.18556701031
Detached,H3,safe_unidirectional,worst,14.803571428571429,1.4995275824175824,10254.725274725275
