Archetype,CAH Type,Operation,Solar,Battery,PV,Cost
Terraced,H1,hybrid_bidirectional,best,9.327473958333334,1.436606979166667,7494.0625
Terraced,H1,hybrid_bidirectional,worst,12.713541666666666,1.8633910416666666,10015.625
Terraced,H1,safe_unidirectional,best,15.796052631578947,1.7084196842105264,11169.78947368421
Terraced,H1,safe_unidirectional,worst,21.169157608695652,2.3156842391304346,15024.130434782608
Terraced,H2,hybrid_bidirectional,best,4.025657894736842,1.010075557894737,4053.4736842105262
Terraced,H2,hybrid_bidirectional,worst,5.962365591397849,1.2893997849462366,5569.677419354839
Terraced,H2,safe_unidirectional,best,12.55163043478261,1.3360241739130436,8830.434782608696
Terraced,H2,safe_unidirectional,worst,16.409149484536083,1.688658556701031,11422.577319587628
Terraced,H3,hybrid_bidirectional,best,3.2776315789473682,0.7939851368421054,3240.6315789473683
Terraced,H3,hybrid_bidirectional,worst,4.903532608695652,1.023447608695652,4502.934782608696
Terraced,H3,safe_unidirectional,best,10.177989130434783,1.0700314891304348,7132.5
Terraced,H3,safe_unidirectional,worst,13.45921052631579,1.3524806947368422,9300.631578947368
